Term Code,Term Desc,Subj Code,Crse Numb,Seq Numb,Course,Crn,Course Title,Course Title - Xlst,Ptrm Start Date,Ptrm End Date,Coll Code,Coll Desc,Dept Code,Dept Desc,Camp Code,Camp Desc,Ssts Code,Credit Hrs,Sess Desc,Schd Code,Schd Desc,Bldg Code,Room Code,Begin Time,End Time,Day,CRN Count,Unique CRN,Seats Avail,Max Enrl,Enrl,Primary Instructor,Instructor,Primary Instr Fctg Desc,All Instructors
201515,Fall Quarter 15-16,DIGM,506,001,DIGM 506 001,15545,Animation & Game Design,Animation & Game Design,09/21/2015,12/12/2015,A,Antoinette Westphal COMAD,3634,Digital Media,UC,University City,A,3,Graduate Classes,L,Lecture,URBN,202,1530,1820,T,649,1,2,13,11,"Fernsler, Jeremy (Primary Instr)","Fernsler, Jeremy",Assist Teaching/Visiting Prof,"Fernsler, Jeremy"
201515,Fall Quarter 15-16,DIGM,520,001,DIGM 520 001,12801,Advanced Interactivity I,Advanced Interactivity I,09/21/2015,12/12/2015,A,Antoinette Westphal COMAD,3634,Digital Media,UC,University City,A,3,Graduate Classes,L,Lecture,URBN,202,0930,1220,R,649,1,4,10,6,"Thompson, Jervis (Primary Instr)","Thompson, Jervis",Instructor,"Thompson, Jervis"
201515,Fall Quarter 15-16,DIGM,525,001,DIGM 525 001,12802,Advanced Animation I,Advanced Animation I,09/21/2015,12/12/2015,A,Antoinette Westphal COMAD,3634,Digital Media,UC,University City,A,3,Graduate Classes,L,Lecture,URBN,202,0900,1150,M,649,1,2,10,8,"Berton, John (Primary Instr)","Berton, John",Assistant Professor,"Berton, John"
201515,Fall Quarter 15-16,DIGM,620,001,DIGM 620 001,13146,Digital Media Workshop,Digital Media Workshop,09/21/2015,12/12/2015,A,Antoinette Westphal COMAD,3634,Digital Media,UC,University City,A,3,Graduate Classes,L,Lecture,URBN,202,1200,1450,M,649,1,0,10,10,"Lee, Frank (Primary Instr)","Lee, Frank",Assistant Professor,"Lee, Frank"
201515,Fall Quarter 15-16,DIGM,620,002,DIGM 620 002,16922,Digital Media Workshop,Digital Media Workshop,09/21/2015,12/12/2015,A,Antoinette Westphal COMAD,3634,Digital Media,UC,University City,A,3,Graduate Classes,L,Lecture,URBN,202,1800,2050,M,649,1,0,10,10,"Gross, Kevin (Primary Instr)","Gross, Kevin",Adjunct Instructor,"Gross, Kevin"
201515,Fall Quarter 15-16,DIGM,T680,001,DIGM T680 001,16424,ST: Games for Health,"ST: Games for Health
(Meets with GMAP T480/001 & RHAB 816/001)",09/21/2015,12/12/2015,A,Antoinette Westphal COMAD,3634,Digital Media,UC,University City,A,3,Graduate Classes,1,Special Topics-Lecture,URBN,239,1500,1750,M,649,1,4,6,2,"Diefenbach, Paul (Primary Instr)","Diefenbach, Paul",Assistant Professor,"Diefenbach, Paul"
201515,Fall Quarter 15-16,DIGM,680,001,DIGM 680 001,13124,Thesis Development,Thesis Development,09/21/2015,12/12/2015,A,Antoinette Westphal COMAD,3634,Digital Media,UC,University City,A,3,Graduate Classes,M,Thesis,URBN,202,1200,1450,W,649,1,0,8,8,"Berton, John (Primary Instr)","Berton, John",Assistant Professor,"Berton, John"
201515,Fall Quarter 15-16,DIGM,680,002,DIGM 680 002,16000,Thesis Development,Thesis Development,09/21/2015,12/12/2015,A,Antoinette Westphal COMAD,3634,Digital Media,UC,University City,A,3,Graduate Classes,M,Thesis,URBN,206,1200,1450,W,649,1,0,8,8,"Zhu, Jichen (Primary Instr)","Zhu, Jichen",Assistant Professor,"Zhu, Jichen"
201515,Fall Quarter 15-16,DIGM,680,003,DIGM 680 003,16001,Thesis Development,Thesis Development,09/21/2015,12/12/2015,A,Antoinette Westphal COMAD,3634,Digital Media,UC,University City,A,3,Graduate Classes,M,Thesis,URBN,239,1200,1450,W,649,1,5,8,3,"Diefenbach, Paul (Primary Instr)","Diefenbach, Paul",Assistant Professor,"Diefenbach, Paul"
201515,Fall Quarter 15-16,DIGM,I599,001,DIGM I599 001,17102,Proj. Mgmt for IDM Projects,Proj. Mgmt for IDM Projects,09/21/2015,12/12/2015,A,Antoinette Westphal COMAD,3634,Digital Media,UC,University City,A,3,Graduate Classes,I,Independent/Directed Study,,,,,,649,1,1,1,0,"Finamore, Troy (Primary Instr)","Finamore, Troy",Adjunct Instructor,"Finamore, Troy"
201515,Fall Quarter 15-16,DIGM,I599,002,DIGM I599 002,17105,360 Degree VP Pipeline Dsgn,360 Degree VP Pipeline Dsgn,09/21/2015,12/12/2015,A,Antoinette Westphal COMAD,3634,Digital Media,UC,University City,A,3,Graduate Classes,I,Independent/Directed Study,,,,,,649,1,0,1,1,"Jushchyshyn, Nicholas (Primary Instr)","Jushchyshyn, Nicholas",Assist Teaching/Visiting Prof,"Jushchyshyn, Nicholas"
201515,Fall Quarter 15-16,GMAP,260,001,GMAP 260 001,12325,Overview of Computer Gaming,Overview of Computer Gaming,09/21/2015,12/12/2015,A,Antoinette Westphal COMAD,3634,Digital Media,UC,University City,A,3,Undergraduate Day,L,Lecture,URBN,250,0900,1150,M,649,1,-1,17,18,"Rowe, Tony (Primary Instr)","Rowe, Tony",,"Rowe, Tony"
201515,Fall Quarter 15-16,GMAP,260,002,GMAP 260 002,12651,Overview of Computer Gaming,Overview of Computer Gaming,09/21/2015,12/12/2015,A,Antoinette Westphal COMAD,3634,Digital Media,UC,University City,A,3,Undergraduate Day,L,Lecture,URBN,247,0900,1150,W,649,1,0,18,18,"Nash, Adam (Primary Instr)","Nash, Adam",,"Nash, Adam"
201515,Fall Quarter 15-16,GMAP,260,003,GMAP 260 003,12652,Overview of Computer Gaming,Overview of Computer Gaming,09/21/2015,12/12/2015,A,Antoinette Westphal COMAD,3634,Digital Media,UC,University City,A,3,Undergraduate Evening,L,Lecture,URBN,250,1800,2050,M,649,1,0,18,18,"Rowe, Tony (Primary Instr)","Rowe, Tony",,"Rowe, Tony"
201515,Fall Quarter 15-16,GMAP,260,004,GMAP 260 004,14744,Overview of Computer Gaming,Overview of Computer Gaming,09/21/2015,12/12/2015,A,Antoinette Westphal COMAD,3634,Digital Media,UC,University City,A,3,Undergraduate Day,L,Lecture,URBN,250,0900,1150,F,649,1,-1,17,18,,,,STAFF
201515,Fall Quarter 15-16,GMAP,260,005,GMAP 260 005,14752,Overview of Computer Gaming,Overview of Computer Gaming,09/21/2015,12/12/2015,A,Antoinette Westphal COMAD,3634,Digital Media,UC,University City,A,3,Undergraduate Day,L,Lecture,URBN,248,1230,1520,R,649,1,-1,17,18,,,,STAFF
